SOURCE_ID,densidad_e,Porc_Plaza,Temperatur,Renta,Tasa_Centr,Esperanza_,Tasa_Fecun,saldo_neto,pob_extr,porc_extr,Shape_Leng,Shape_Area,INTRCPT,SE_INTRCPT,C_PORC_PLA,SE_PORC_PL,C_TEMPERAT,SE_TEMPERA,C_RENTA,SE_RENTA,C_TASA_CEN,SE_TASA_CE,C_ESPERANZ,SE_ESPERAN,C_TASA_FEC,SE_TASA_FE,C_SALDO_NE,SE_SALDO_N,C_POB_EXTR,SE_POB_EXT,C_PORC_EXT,SE_PORC_EX,PREDICTED,RESIDUAL,STDRESID,INFLUENCE,COOKS_D,CND_NUMBER,LOCALR2,NUM_NEIGHS,name
10,21.5369,2.25922,16.9,22994,11.9425,20.44,9.08,334,222217,14.6856,5.81586692251,1.16585526286,495.09568534,464.659798045,-6.29876550818,7.33352825115,37.0419907923,9.11636394255,0.0259972901775,0.00329172088245,1.56596031871,0.484939628853,-85.491513932,16.8010602792,3.86310200649,15.6284999,-0.00628363825851,0.00440876834261,-0.000299278835244,0.000110601433037,7.30514202271,2.94444452363,49.665382066,-28.1284824994,-0.808543732115,0.363829090644,0.0183807838926,182962745.826,0.92892505356,44,Murcia
11,5.03283,4.76901,14.9,21640,25.2962,19.32,7.13,16,26324,6.76849,6.87593302379,1.54736307966,88.534554271,475.143611673,-5.53726240475,7.41561820625,33.9598544725,9.1825517361,0.0215991364071,0.00327286081693,1.27119132371,0.477924914275,-54.0967827215,17.3588529657,-3.3772110236,15.8029832509,-0.0062767900568,0.00462244773141,-0.000252753265576,0.000116622789034,5.40419356959,3.07185154332,28.2857173602,-23.2528871219,-0.62088687606,0.262746172444,0.00675425894755,198568228.763,0.862498931002,44,Albacete
12,5.08087,8.69661,12.1,20378,86.7949,20.48,5.6,1334,10472,6.57975,5.37957585787,0.854300733835,-168.736327289,450.703563879,-1.48601791625,6.76868663885,5.02894919728,9.90646276555,0.0042858904702,0.00365920962172,0.0710517163123,0.450185546867,3.62828029061,17.7248788457,-8.61891239463,17.3681077846,-0.000290618428112,0.00551610738894,0.0000931550654076,0.00015089372194,-0.0454936704998,3.84552887156,-0.974788498391,6.05565864991,0.156046938308,0.208409637275,0.000315181841091,193730322.768,0.653763185247,44,Ávila
13,23.7013,4.45395,12,30410,8.75231,21.46,7.26,-37,32416,9.83197,5.54728125339,0.33003939166,-244.496805224,482.770940293,-2.39881843698,7.82330232206,9.99304138398,10.0341375514,0.00554902191049,0.00368980131459,0.162870993121,0.479744740243,4.78192336817,19.0505325054,-14.11205878,17.2966624263,-0.0032648732568,0.00566203495416,0.0000211469072922,0.000144452380629,-0.031363348354,3.60500901297,35.5711839464,-11.8698842791,-0.327358922068,0.308912822143,0.0023549671211,203602680.194,0.782245521519,44,Araba/Álava
14,6.1002,4.99635,17.1,19939,18.7532,19.94,7.37,220,21030,3.1408,9.75647573559,2.2539176136,-581.582235001,522.530214805,0.662012620212,6.77658520516,21.7612005175,10.3750028738,0.0308237321227,0.00434474834772,-0.0892479382654,0.465743821197,-17.850795227,18.3856900999,-10.8460847006,18.0829131995,-0.015557158139,0.0050704779983,-0.000702098326943,0.000144621399538,10.61588678,3.75552704215,-13.9631756876,20.0633758638,0.528955224399,0.243762122638,0.0044338296508,210992309.397,0.906770323292,44,Badajoz
15,66.6237,2.32435,17.1,22087,7.48291,20.67,7.06,1756,374618,19.7713,4.36133368433,0.611178123708,771.733353051,469.683705737,-11.1681920802,7.98911723592,29.9727652727,8.48816890963,0.0218880072097,0.0032957176431,1.6862290939,0.493177345694,-88.7654489712,17.3980449667,6.69378683932,15.6244381227,-0.00311189764881,0.00447573096697,-0.000162249933062,0.000111707929738,4.86341924157,3.00188208476,-3.24664413532,69.8703471382,2.38319559753,0.548191231358,0.338789693009,211424881.417,0.898243546188,44,Alacant/Alicante
16,13.2406,5.89414,11.9,20887,12.1497,21.38,4.78,848,15633,5.12274,5.23423071689,0.793561233709,-306.261001574,514.171657957,-1.89367159888,7.51711145688,7.90870953243,11.2772174178,0.00532095870071,0.00421146762586,0.127873706332,0.501720315261,8.09834660893,20.1677934162,-11.0885765316,20.3628884733,-0.000756877366434,0.00640075983428,0.0000723015500462,0.000164806959531,0.14554688786,4.60648980338,10.7568678557,2.48373177652,0.0747023544673,0.418929220615,0.000197794213454,164948079.461,0.688012644509,44,Ourense
17,141.214,4.27929,14.4,31874,5.71794,20.16,7.55,-16298,883558,15.6712,5.76122150782,0.835343796664,-52.7565011326,505.863998123,-3.0581646941,8.94347628008,2.07985870144,8.96813558402,0.00336806668506,0.00394412738527,0.0510269440165,0.542783518053,2.42157425035,22.1641187005,-10.2670892276,14.3855603625,-0.000577496025496,0.00493430342665,0.000111896486791,0.000122195389632,-0.878989036528,3.21343730677,137.558880066,3.65512445045,0.139103821773,0.637077041803,0.00166989444939,314496687.472,0.696732997271,44,Barcelona
18,6.0007,7.75168,11.4,25159,76.0243,20.78,6.1,420,28626,8.07554,9.44811439815,1.57138158173,-243.553383372,474.90138978,-2.29973318017,7.49351025618,9.69075369641,10.0494115663,0.0057191804683,0.00368948588222,0.168014636401,0.472491727308,4.53284612552,18.6567396031,-13.6721363927,17.3424057489,-0.00260809942275,0.00565009138987,0.0000313869485087,0.000145909849697,-0.157213443149,3.62131980266,15.0824786242,-9.08177862724,-0.220661990583,0.109620834364,0.000294717932404,177233641.366,0.777312884402,44,Burgos
19,4.53347,8.85968,16.4,19761,33.4181,19.73,6.27,62,13637,3.51085,8.54696969656,2.08665030761,26.1156232208,455.466184865,-5.07769794612,6.47297731754,7.63584003869,9.93219211031,0.0130582041533,0.00377590056782,0.209895139052,0.437132259394,-17.2084632968,16.3594291071,-5.50124268212,17.299637412,-0.00454967840228,0.0051778339117,-0.00014096428795,0.000147202955728,0.751604059637,3.72937397678,-2.16731965476,6.70078980857,0.217481439696,0.501005428547,0.00233466403758,194186243.443,0.786838158286,44,Cáceres
20,28.961,2.52054,18,23319,6.8223,19.41,7.26,2040,49470,3.93176,5.60601399349,0.750222493282,-821.877736585,552.186326658,6.58789959847,7.03264451748,33.8877613802,10.6853065026,0.040328429165,0.00425037302015,-0.262621703632,0.499878357116,-26.2725670014,19.5006800268,-18.1588008849,17.6180353489,-0.0197939397354,0.00490443885792,-0.000943152683124,0.000136160707845,17.3739708681,3.52939204914,82.8234529677,-53.8624525252,-1.4902085777,0.313301086637,0.0498107456651,204087753.245,0.950056946241,44,Cádiz
21,17.243,2.68906,15.1,23853,16.3659,20.77,7.24,2298,88992,15.4248,4.38513528315,0.706100588496,14.0970124397,465.513871315,-3.15856101148,8.07576605611,3.52937882634,8.24188014968,0.00414059288325,0.00371554998215,0.130529631203,0.51200704654,-4.3133144473,19.954151624,-6.63173106711,14.5260738884,-0.000936952287629,0.00453112315201,0.0000882192506915,0.000115213511098,-0.391871935617,2.96801356325,21.8507415638,-4.60774153333,-0.119538327385,0.219001680569,0.000196990409086,236036296.113,0.640393788184,44,Castelló/Castellón
22,5.0321,6.18951,15.8,21575,14.9447,18.79,6.94,251,31023,6.30466,8.62701281496,2.05832657528,-197.7200248,487.595908126,-1.97209975035,6.77075640252,30.5786710066,9.81819068768,0.0244414714843,0.00349379852506,0.796404693301,0.456512237934,-38.4159777539,17.3880355028,-8.69184778078,15.9805718673,-0.00966051513199,0.0046825292269,-0.000400796560718,0.00012427608344,6.94969056933,3.2099590526,59.2424815462,-54.2103813456,-1.53411472736,0.343646998286,0.0605792847898,181712283.562,0.882197290932,44,Ciudad Real
23,9.09114,3.89343,16.5,19383,16.5452,19.7,7.22,-1292,16413,2.62236,5.60011100877,1.38295142439,-388.577717206,527.516704049,1.40343678928,7.04085644262,41.0801830487,10.6766194898,0.0326840355628,0.00381711425863,0.831968222488,0.491854240361,-48.0568874777,18.6073776251,-9.47001440572,16.6087661635,-0.013258853796,0.00474594786584,-0.000600619960198,0.000127879645597,11.644144999,3.24331126076,-35.2973900964,44.3885298898,1.19804978343,0.278427417594,0.027227959173,189086386.607,0.932333942185,44,Jaén
24,11.1711,3.66882,17.2,20836,10.1406,20.36,7.21,-1390,22512,2.88192,6.21049793161,1.4093085431,-632.858043944,536.725423874,3.72741934392,6.9309868372,34.846268277,10.4768709816,0.0353967030567,0.0040976530331,0.257221485122,0.485820791491,-32.3488375464,19.0351041731,-12.7614408491,17.0450302953,-0.0163730576412,0.00480703298663,-0.000756528658467,0.000133122419141,13.4926964444,3.39863599671,14.2872212613,-3.11612159855,-0.0874822449169,0.333074713254,0.000187904725094,192207531.71,0.934693927998,44,Córdoba
25,2.61219,8.06289,13.7,20109,63.2077,19.41,6,491,22131,11.1199,6.76726527108,1.80584659663,-100.7915064,460.058242922,-1.43867451273,7.56742072132,2.84319512164,9.26325625442,0.00257307740716,0.00398869904314,0.036290801989,0.514776029115,3.43834013385,19.4514744084,-7.50022222716,15.4356546138,-0.000456706490833,0.00491338070375,0.000112709780157,0.00013033586277,-0.24041239012,3.23545298957,1.92988716061,0.682302847556,0.0203620854785,0.409801523099,0.0000141531588375,226653298.541,0.442743512859,44,Cuenca
26,13.432,3.16234,14.8,22177,19.1907,19.69,7.61,1064,65155,7.01882,6.22706803104,1.28393112267,-248.811076482,520.558398711,2.30054955021,7.08855644583,40.8728547643,10.6837194368,0.0333028754707,0.0037549709373,0.823173668764,0.507624898297,-57.2029741271,18.4278898442,-6.73841949202,16.5057714729,-0.013325504107,0.00469209618718,-0.000608136913948,0.000124828016705,12.4263495223,3.18123937865,-26.4517029679,39.8837031281,1.26155184727,0.474625522008,0.0706847470849,186083874.722,0.944264147717,44,Granada
27,3.50295,9.34673,12.5,25352,96.5292,19.98,7.4,2787,35509,13.3835,6.92585715981,1.3113788709,-177.021665144,453.077515494,-1.65172976695,7.41163540443,6.5461024639,9.53214040991,0.00452274443022,0.00396660362238,0.109114672922,0.513403751233,3.69244652029,19.1892029019,-11.2066039395,15.5779411352,-0.00122344295625,0.00513628410889,0.0000754013642912,0.000133805802051,-0.180297262545,3.4679486626,2.26060439306,1.24234556002,0.0350471686556,0.339508585524,0.0000310400810013,222077338.692,0.688286806196,44,Guadalajara
28,83.349,3.45753,13.3,32086,6.72601,21.23,7.01,-80,60285,8.41635,2.40684104522,0.22128101692,-231.117893458,483.688114565,-2.50902072596,8.07851937778,9.645626753,9.79124038464,0.00540628137198,0.00370263019697,0.155442464402,0.486708463106,4.52865901139,19.2543075862,-13.8976072142,17.1942284389,-0.00338467498198,0.00562717787341,0.0000216812164139,0.000142595849608,-0.063789079279,3.57750726195,62.7675352349,20.5814637885,0.559735811233,0.289319235257,0.00627050211601,221741448.929,0.785232509031,44,Gipuzkoa/Guipúzcoa
